question,entity,time,answer
"Which position did Charles-Joseph, 4th Duke d'Ursel hold right after January 1830?","Charles-Joseph, 4th Duke d'Ursel",1830-01,Senator of Belgium
Which political party did R.N. Upadhyaya belong to right after January 1952?,R.N. Upadhyaya,1952-01,Communist Party of India
Which political party did R.N. Upadhyaya belong to right after January 1964?,R.N. Upadhyaya,1964-01,Communist Party of India (Marxist)
Which employer did Wilhelm Flügge work for right after January 1930?,Wilhelm Flügge,1930-01,University of Göttingen
Which employer did Wilhelm Flügge work for right after January 1939?,Wilhelm Flügge,1939-01,Deutsche Versuchsanstalt für Luftfahrt
Which employer did Wilhelm Flügge work for right after January 1945?,Wilhelm Flügge,1945-01,Office National d'Études et de Recherches Aérospatiales
Which employer did Wilhelm Flügge work for right after January 1948?,Wilhelm Flügge,1948-01,Stanford University
Who was the head of Vârghiș right after January 2016?,Vârghiș,2016-01,Levente-Lehel Sütő
Who was the head of Vârghiș right after October 2020?,Vârghiș,2020-10,Lajos Imets
Which position did Harold Roper hold right after October 1951?,Harold Roper,1951-10,Member of the 40th Parliament of the United Kingdom
Which team did Alexis Alexandrou play for right after January 1997?,Alexis Alexandrou,1997-01,APOEL F.C.
"Which position did Frederick Elwyn Jones, Baron Elwyn-Jones hold right after February 1950?","Frederick Elwyn Jones, Baron Elwyn-Jones",1950-02,Member of the 39th Parliament of the United Kingdom
"Which position did Frederick Elwyn Jones, Baron Elwyn-Jones hold right after May 1955?","Frederick Elwyn Jones, Baron Elwyn-Jones",1955-05,Member of the 41st Parliament of the United Kingdom
"Which position did Frederick Elwyn Jones, Baron Elwyn-Jones hold right after September 1959?","Frederick Elwyn Jones, Baron Elwyn-Jones",1959-09,Member of the 42nd Parliament of the United Kingdom
"Which position did Frederick Elwyn Jones, Baron Elwyn-Jones hold right after September 1964?","Frederick Elwyn Jones, Baron Elwyn-Jones",1964-09,Member of the 43rd Parliament of the United Kingdom
"Which position did Frederick Elwyn Jones, Baron Elwyn-Jones hold right after May 1970?","Frederick Elwyn Jones, Baron Elwyn-Jones",1970-05,Member of the 45th Parliament of the United Kingdom
"Which position did Frederick Elwyn Jones, Baron Elwyn-Jones hold right after February 1974?","Frederick Elwyn Jones, Baron Elwyn-Jones",1974-02,Member of the 46th Parliament of the United Kingdom
Where was Jessica Stegrud educated right after January 1991?,Jessica Stegrud,1991-01,Gävle University College
Where was Jessica Stegrud educated right after January 1993?,Jessica Stegrud,1993-01,University of Angers
Which employer did Caroline C. Hunter work for right after January 2005?,Caroline C. Hunter,2005-01,United States Department of Homeland Security
Who was the owner of NTV right after January 1997?,NTV,1997-01,Media-Most
Which team did Marco Verratti play for right after January 2011?,Marco Verratti,2011-01,Italy national under-20 football team
Which team did Marco Verratti play for right after January 2012?,Marco Verratti,2012-01,Paris Saint-Germain F.C.
Who was the head coach of the team Ermis Aradippou FC right after October 2018?,Ermis Aradippou FC,2018-10,Nikos Andronikou
Which team did Kotaro Yamazaki play for right after January 1998?,Kotaro Yamazaki,1998-01,Shimizu S-Pulse
Which team did Kotaro Yamazaki play for right after January 2002?,Kotaro Yamazaki,2002-01,Ventforet Kofu
Which political party did Sylvain Maillard belong to right after January 2007?,Sylvain Maillard,2007-01,Les Centristes
Which political party did Sylvain Maillard belong to right after January 2012?,Sylvain Maillard,2012-01,La République En Marche
Who was the head of Keelung right after December 2001?,Keelung,2001-12,Hsu Tsai-li
Who was the head of Keelung right after December 2014?,Keelung,2014-12,Lin Yu-chang
Where was Julia Kempe educated right after February 1995?,Julia Kempe,1995-02,Pierre and Marie Curie University
Where was Julia Kempe educated right after October 1996?,Julia Kempe,1996-10,École normale supérieure  (Paris)
Where was Julia Kempe educated right after July 1997?,Julia Kempe,1997-07,"University of California, Berkeley"
Which employer did Thomas William Walker work for right after January 1941?,Thomas William Walker,1941-01,University of Manchester
Which employer did Thomas William Walker work for right after January 1946?,Thomas William Walker,1946-01,"King's College, Newcastle-upon-Tyne"
Which employer did Pedro J. Ramírez work for right after January 1980?,Pedro J. Ramírez,1980-01,Diario 16
Which employer did Pedro J. Ramírez work for right after March 1989?,Pedro J. Ramírez,1989-03,El Mundo.
Which employer did Pedro J. Ramírez work for right after February 2014?,Pedro J. Ramírez,2014-02,El Español
Which employer did Bill Richardson work for right after January 1973?,Bill Richardson,1973-01,United States Department of State
Where was Anna Corbella i Jordi educated right after January 2000?,Anna Corbella i Jordi,2000-01,University of Cádiz
Where was Anna Corbella i Jordi educated right after January 2003?,Anna Corbella i Jordi,2003-01,Pompeu Fabra University
Which position did Peter Griffiths hold right after March 1966?,Peter Griffiths,1966-03,Member of the 48th Parliament of the United Kingdom
Which position did Peter Griffiths hold right after May 1983?,Peter Griffiths,1983-05,Member of the 49th Parliament of the United Kingdom
Which position did Peter Griffiths hold right after May 1987?,Peter Griffiths,1987-05,Member of the 50th Parliament of the United Kingdom
Which position did Peter Griffiths hold right after March 1992?,Peter Griffiths,1992-03,Member of the 51st Parliament of the United Kingdom
Which position did Andrew Robathan hold right after April 1997?,Andrew Robathan,1997-04,Member of the 52nd Parliament of the United Kingdom
Which position did Andrew Robathan hold right after May 2001?,Andrew Robathan,2001-05,Member of the 53rd Parliament of the United Kingdom
Which position did Andrew Robathan hold right after April 2005?,Andrew Robathan,2005-04,Member of the 54th Parliament of the United Kingdom
Which position did Andrew Robathan hold right after April 2010?,Andrew Robathan,2010-04,Member of the 55th Parliament of the United Kingdom
Which position did Andrew Robathan hold right after October 2013?,Andrew Robathan,2013-10,Minister of State for Northern Ireland
Which team did Percy Smith play for right after January 1910?,Percy Smith,1910-01,Blackburn Rovers F.C.
Which team did Percy Smith play for right after January 1921?,Percy Smith,1921-01,Barrow A.F.C.
Which political party did Jacques Piette belong to right after January 1934?,Jacques Piette,1934-01,French Section of the Workers' International
Which political party did Jacques Piette belong to right after January 1969?,Jacques Piette,1969-01,Socialist Party
Which employer did Masahisa Fujita work for right after September 1976?,Masahisa Fujita,1976-09,University of Pennsylvania
Which team did Jasmin Moranjkić play for right after January 2014?,Jasmin Moranjkić,2014-01,OFK Gradina
Which team did Jasmin Moranjkić play for right after January 2015?,Jasmin Moranjkić,2015-01,FK Sloboda Tuzla
Which team did Jasmin Moranjkić play for right after January 2016?,Jasmin Moranjkić,2016-01,FK Radnički Lukavac
Which employer did Amos Yong work for right after January 2014?,Amos Yong,2014-01,Fuller Theological Seminary
Which position did Bethany Hall-Long hold right after January 2009?,Bethany Hall-Long,2009-01,member of the Delaware State Senate
Which position did Bethany Hall-Long hold right after January 2017?,Bethany Hall-Long,2017-01,Lieutenant Governor of Delaware
Who was the head coach of the team FC Zbrojovka Brno right after August 2017?,FC Zbrojovka Brno,2017-08,Miloslav Machálek
Who was the head of Brandenburg an der Havel right after January 2002?,Brandenburg an der Havel,2002-01,Helmut Schmidt
Who was the head of Brandenburg an der Havel right after January 2003?,Brandenburg an der Havel,2003-01,Dietlind Tiemann
Who was the head of Brandenburg an der Havel right after October 2017?,Brandenburg an der Havel,2017-10,Steffen Scheller
Which employer did Leslie Valiant work for right after January 1974?,Leslie Valiant,1974-01,University of Leeds
Which employer did Leslie Valiant work for right after January 1976?,Leslie Valiant,1976-01,University of Edinburgh
Which position did Cyril Smith hold right after February 1974?,Cyril Smith,1974-02,Member of the 46th Parliament of the United Kingdom
Which position did Cyril Smith hold right after September 1974?,Cyril Smith,1974-09,Member of the 47th Parliament of the United Kingdom
Which position did Chris Kourakis hold right after June 2012?,Chris Kourakis,2012-06,Chief Justice of South Australia
Who was the owner of Gravesend town pier right after January 1912?,Gravesend town pier,1912-01,Gravesham Borough Council
Which team did Hiroaki Tajima play for right after January 1996?,Hiroaki Tajima,1996-01,Honda FC
Which team did Macchambes Younga-Mouhani play for right after January 1996?,Macchambes Younga-Mouhani,1996-01,Fortuna Düsseldorf
Which team did Macchambes Younga-Mouhani play for right after January 2005?,Macchambes Younga-Mouhani,2005-01,Rot-Weiss Essen
Which team did Macchambes Younga-Mouhani play for right after January 2011?,Macchambes Younga-Mouhani,2011-01,FC Wegberg-Beeck
Which political party did Ulrike Trebesius belong to right after September 2018?,Ulrike Trebesius,2018-09,independent politician
Who was the head of Jönköping County right after September 2017?,Jönköping County,2017-09,Anneli Wirtén
Who was the head of Jönköping County right after January 2018?,Jönköping County,2018-01,Helena Jonsson
"Which position did Hardinge Giffard, 1st Earl of Halsbury hold right after March 1880?","Hardinge Giffard, 1st Earl of Halsbury",1880-03,Member of the 22nd Parliament of the United Kingdom
"Which position did Hardinge Giffard, 1st Earl of Halsbury hold right after June 1885?","Hardinge Giffard, 1st Earl of Halsbury",1885-06,Member of the House of Lords
Which employer did Harold Hotelling work for right after January 1920?,Harold Hotelling,1920-01,Stanford University
Which employer did Harold Hotelling work for right after January 1931?,Harold Hotelling,1931-01,Columbia University
"Which position did John Manners, 2nd Duke of Rutland hold right after January 1707?","John Manners, 2nd Duke of Rutland",1707-01,Member of the 3rd Parliament of Great Britain
Which team did Theo Bücker play for right after January 1973?,Theo Bücker,1973-01,MSV Duisburg
Which team did Theo Bücker play for right after January 1978?,Theo Bücker,1978-01,Al Ittihad FC
Which team did Theo Bücker play for right after January 1981?,Theo Bücker,1981-01,FC Schalke 04
Who was the chair of Mánes Union of Fine Arts right after January 1896?,Mánes Union of Fine Arts,1896-01,Jiří T. Kotalík
Who was the chair of Mánes Union of Fine Arts right after January 2015?,Mánes Union of Fine Arts,2015-01,Ivan Exner
"Which position did Alfred Robens, Baron Robens of Woldingham hold right after February 1950?","Alfred Robens, Baron Robens of Woldingham",1950-02,Member of the 39th Parliament of the United Kingdom
